drug,reaction,a,n_drug,n_event,b,c,d,PRR,ROR
PAXLOVID,Disease recurrence,3981,9717,6950,5736,2969,1471664,203.485620944054,344.018266860769
REPATHA,Device difficult to use,12987,27309,17790,14322,4803,1452238,144.265414899495,274.176596529138
DUPIXENT,Dermatitis atopic,8851,96666,9830,87815,979,1386705,129.785591814972,142.766076620009
VEDOLIZUMAB,Colitis ulcerative,3671,15101,6771,11430,3100,1466149,115.215892111396,151.898878982869
GENOTROPIN,Device leakage,2848,10014,7342,7166,4494,1469842,93.3030412518158,129.987253013631
LEFLUNOMIDE,Hepatic enzyme increased,1612,6928,6525,5316,4913,1472509,69.9704965710523,90.8848006479026
SULFASALAZINE,Hepatic enzyme increased,1678,7391,6525,5713,4847,1472112,69.180576067386,89.2063080192631
INFLECTRA,Intentional product use issue,2634,7312,10333,4678,7699,1469339,69.1093704658566,107.459110056935
ACTEMRA,Hepatic enzyme increased,1965,9615,6525,7650,4560,1470175,66.0940570517558,82.8142952356381
SULFASALAZINE,Mobility decreased,1543,7391,6477,5848,4934,1472025,62.4930927507063,78.7180999522008
LEFLUNOMIDE,Mobility decreased,1455,6928,6477,5473,5022,1472400,61.7849881422434,77.9447100035561
LEFLUNOMIDE,Rheumatoid arthritis,2126,6928,9792,4802,7666,1469756,59.1413355905835,84.8823767121122
SULFASALAZINE,Rheumatoid arthritis,2223,7391,9792,5168,7569,1469390,58.6902817982021,83.5055868363992
CIMZIA,Rheumatoid arthritis,2960,11170,9792,8210,6832,1466348,57.1408234250743,77.3816075101193
SULFASALAZINE,Swelling,1762,7391,7931,5629,6169,1470790,57.0763734831998,74.629503715461
ACTEMRA,Infusion related reaction,2102,9615,7821,7513,5719,1469016,56.3738004809579,71.8663771628391
VEDOLIZUMAB,Crohn's disease,2819,15101,7700,12282,4881,1464368,56.1921907886746,68.8600613173567
LEFLUNOMIDE,Swelling,1650,6928,7931,5278,6281,1471141,56.0211259772774,73.2217432304998
ORENCIA,Joint swelling,3363,11990,10858,8627,7495,1464865,55.0998044289743,76.1891335462388
SULFASALAZINE,Infusion related reaction,1683,7391,7821,5708,6138,1470821,54.7926706849219,70.6534038248525
ACTEMRA,Rheumatoid arthritis,2559,9615,9792,7056,7233,1467502,54.2645892148419,73.5820614088301
XELJANZ,Hepatic enzyme increased,1543,8491,6525,6948,4982,1470877,53.8329562682872,65.5660091643677
ELIGARD,Hot flush,1943,9756,7409,7813,5466,1469128,53.7283921238407,66.8413149315487
LEFLUNOMIDE,Infusion related reaction,1548,6928,7821,5380,6273,1471149,52.6250294067945,67.4792200242142
SULFASALAZINE,Musculoskeletal stiffness,1453,7391,7263,5938,5810,1471149,49.9752205256847,61.9592211022795
REPATHA,Drug dose omission by device,13071,27309,27342,14238,14271,1442770,48.8675294896817,92.8116563305042
ACTEMRA,Swelling,1900,9615,7931,7715,6031,1468704,48.3202276192523,59.9739453738317
SIMPONI,Hepatic enzyme increased,1439,8698,6525,7259,5086,1470566,48.0008563672865,57.318149701427
HYDROXYCHLOROQUINE,Hepatic enzyme increased,1363,8196,6525,6833,5162,1470992,47.5562469497316,56.8429679496561
REMICADE,Infusion related reaction,1764,9142,7821,7378,6057,1469151,46.9951509662798,57.9920940815573
LEFLUNOMIDE,Joint swelling,1960,6928,10858,4968,8898,1468524,46.974303850101,65.1123142257447
ACTEMRA,Mobility decreased,1515,9615,6477,8100,4962,1469773,46.829613329636,55.4014484153642
SULFASALAZINE,Joint swelling,2056,7391,10858,5335,8802,1468157,46.6774350585319,64.2805852891489
INFLIXIMAB,Hepatic enzyme increased,1276,7714,6525,6438,5249,1471387,46.5337357491653,55.5584401318827
XELJANZ,Mobility decreased,1362,8491,6477,7129,5115,1470744,46.2825731989469,54.9338377096729
ACTEMRA,Joint swelling,2516,9615,10858,7099,8342,1466393,46.2599490601537,62.3008043686967
HYDROXYCHLOROQUINE,Mobility decreased,1309,8196,6477,6887,5168,1470986,45.6191153900491,54.0997923242111
LEFLUNOMIDE,Musculoskeletal stiffness,1279,6928,7263,5649,5984,1471438,45.58013869356,55.6736061017851
REMICADE,Hepatic enzyme increased,1435,9142,6525,7707,5090,1470118,45.4931658929469,53.7775428303257
ORENCIA,Rheumatoid arthritis,2640,11990,9792,9350,7152,1465208,45.3284896250231,57.844769048559
SIMPONI,Mobility decreased,1364,8698,6477,7334,5113,1470539,45.2588094036828,53.4901996445641
ENBREL,Hepatic enzyme increased,1725,11884,6525,10159,4800,1467666,44.5277237251767,51.9187389260754
SIMPONI,Rheumatoid arthritis,2034,8698,9792,6664,7758,1467894,44.4800964992352,57.7511823755024
SIMPONI,Swelling,1646,8698,7931,7052,6285,1469367,44.4313077760174,54.5685642421724
DUPIXENT,Eczema,6874,96666,9109,89792,2235,1385449,44.1518426394146,47.4553191885876
ORENCIA,Hepatic enzyme increased,1722,11990,6525,10268,4803,1467557,44.0266243105982,51.2424255438325
ADALIMUMAB,Mobility decreased,1424,9595,6477,8171,5053,1469702,43.3147277730471,50.6891216475813
XELJANZ,Rheumatoid arthritis,1949,8491,9792,6542,7843,1468016,43.1932269511336,55.7634805934081
SULFASALAZINE,Discomfort,1147,7391,6515,6244,5368,1471591,42.6988470137584,50.3587729466189
LEFLUNOMIDE,Drug intolerance,1458,6928,8864,5470,7406,1470016,41.9827128961662,52.9064414889652
XELJANZ,Infusion related reaction,1515,8491,7821,6976,6306,1469553,41.7584811073817,50.6101294556735
CIMZIA,Hepatic enzyme increased,1566,11170,6525,9604,4959,1468221,41.648588795175,48.2766281593196
XELJANZ,Swelling,1533,8491,7931,6958,6398,1469461,41.6470214182245,50.602451690449
INFLIXIMAB,Mobility decreased,1151,7714,6477,6563,5326,1471310,41.3683290477219,48.4480100981452
SULFASALAZINE,Drug intolerance,1480,7391,8864,5911,7384,1469575,40.0530197410015,49.8311400618748
SIMPONI,Infusion related reaction,1485,8698,7821,7213,6336,1469316,39.7626968843412,47.7430940662692
HYDROXYCHLOROQUINE,Rheumatoid arthritis,1768,8196,9792,6428,8024,1468130,39.6845133219181,50.3245599232173
INFLIXIMAB,Infusion related reaction,1338,7714,7821,6376,6483,1470153,39.5069870018837,47.5876564825174
SULFASALAZINE,Sleep disorder,1156,7391,7029,6235,5873,1471086,39.3335432670919,46.4407727806057
LEFLUNOMIDE,Dry mouth,1000,6928,6447,5928,5447,1471975,39.1506798029807,45.586354533578
SULFASALAZINE,Wheezing,1134,7391,6950,6257,5816,1471143,38.9631350687302,45.8434603313065
HYDROXYCHLOROQUINE,Swelling,1399,8196,7931,6797,6532,1469622,38.5745844611668,46.3084146305316
SULFASALAZINE,Dry mouth,1042,7391,6447,6349,5405,1471554,38.5245219233683,44.6830589912766
ADALIMUMAB,Hepatic enzyme increased,1299,9595,6525,8296,5226,1469529,38.204510876491,44.0300484402038
LEFLUNOMIDE,Sleep disorder,1058,6928,7029,5870,5971,1471451,37.7863792587963,44.416701108167
ACTEMRA,Musculoskeletal stiffness,1431,9615,7263,8184,5832,1468903,37.634557789719,44.0402337668803
LEFLUNOMIDE,Wheezing,1038,6928,6950,5890,5912,1471510,37.4420493059093,43.864264446747
CLOZAPINE,Neutropenia,2345,8646,13130,6301,10785,1464919,37.11134725784,50.5506599573535
OXYCODONE,Hepatic enzyme increased,1080,7900,6525,6820,5445,1471005,37.0695679464379,42.7814643367829
LEFLUNOMIDE,Discomfort,962,6928,6515,5966,5553,1471869,36.9440140963689,42.7398809352403
HYDROXYCHLOROQUINE,Infusion related reaction,1328,8196,7821,6868,6493,1469661,36.836841898363,43.7662720149947
REMICADE,Rheumatoid arthritis,1795,9142,9792,7347,7997,1467211,36.220079467013,44.8249580083616
