drug,reaction,a,b,c,d,PRR,ROR,chi2,pvalue
PAXLOVID,Disease recurrence,3981,5736,2969,1471664,203.48562094405384,344.0182668607691,344191.45435031515,0.0
REPATHA,Device difficult to use,12987,14322,4803,1452238,144.26541489949534,274.1765965291383,504856.7288158774,0.0
DUPIXENT,Dermatitis atopic,8851,87815,979,1386705,129.78559181497226,142.76607662000922,113386.75951966802,0.0
VEDOLIZUMAB,Colitis ulcerative,3671,11430,3100,1466149,115.21589211139616,151.89887898286906,191116.8514502973,0.0
GENOTROPIN,Device leakage,2848,7166,4494,1469842,93.30304125181576,129.98725301363146,159916.4570489799,0.0
LEFLUNOMIDE,Hepatic enzyme increased,1612,5316,4913,1472509,69.97049657105224,90.88480064790257,82828.86267718775,0.0
SULFASALAZINE,Hepatic enzyme increased,1678,5713,4847,1472112,69.180576067386,89.20630801926308,84075.79051135888,0.0
INFLECTRA,Intentional product use issue,2634,4678,7699,1469339,69.10937046585663,107.45911005693536,132606.9038706569,0.0
ACTEMRA,Hepatic enzyme increased,1965,7650,4560,1470175,66.09405705175574,82.81429523563811,88380.11364710798,0.0
SULFASALAZINE,Mobility decreased,1543,5848,4934,1472025,62.49309275070629,78.71809995220079,71387.7202271272,0.0
LEFLUNOMIDE,Mobility decreased,1455,5473,5022,1472400,61.78498814224341,77.94471000355607,67712.65468145604,0.0
LEFLUNOMIDE,Rheumatoid arthritis,2126,4802,7666,1469756,59.14133559058354,84.88237671211219,95720.5568851976,0.0
SULFASALAZINE,Rheumatoid arthritis,2223,5168,7569,1469390,58.69028179820205,83.50558683639925,98043.8547901251,0.0
CIMZIA,Rheumatoid arthritis,2960,8210,6832,1466348,57.140823425074274,77.38160751011932,114631.29616508912,0.0
SULFASALAZINE,Swelling,1762,5629,6169,1470790,57.0763734831998,74.62950371546096,75870.11079334914,0.0
ACTEMRA,Infusion related reaction,2102,7513,5719,1469016,56.37380048095786,71.86637716283906,84004.87084900039,0.0
VEDOLIZUMAB,Crohn's disease,2819,12282,4881,1464368,56.192190788674566,68.86006131735667,97340.3110590684,0.0
LEFLUNOMIDE,Swelling,1650,5278,6281,1471141,56.02112597727741,73.2217432304998,70949.4939281272,0.0
ORENCIA,Joint swelling,3363,8627,7495,1464865,55.09980442897434,76.18913354623882,124178.3621290152,0.0
SULFASALAZINE,Infusion related reaction,1683,5708,6138,1470821,54.79267068492194,70.6534038248525,70081.37164204488,0.0
ACTEMRA,Rheumatoid arthritis,2559,7056,7233,1467502,54.26458921484192,73.58206140883009,99443.95860726669,0.0
XELJANZ,Hepatic enzyme increased,1543,6948,4982,1470877,53.832956268287184,65.56600916436766,61316.24476705355,0.0
ELIGARD,Hot flush,1943,7813,5466,1469128,53.72839212384074,66.84131493154874,74509.54687548621,0.0
LEFLUNOMIDE,Infusion related reaction,1548,5380,6273,1471149,52.62502940679455,67.47922002421424,63171.20935695049,0.0
SULFASALAZINE,Musculoskeletal stiffness,1453,5938,5810,1471149,49.9752205256847,61.95922110227949,56020.56005465767,0.0
REPATHA,Drug dose omission by device,13071,14238,14271,1442770,48.86752948968174,92.8116563305042,325862.5181219167,0.0
