drugname_clean,caseid
DUPIXENT,96666
PREDNISONE,51719
ACETAMINOPHEN,36279
ASPIRIN,35505
METHOTREXATE,29031
MOUNJARO,28135
REPATHA,27309
ATORVASTATIN,25906
DEXAMETHASONE,24786
HUMIRA,24383
RITUXIMAB,24136
GABAPENTIN,23778
ELIQUIS,23127
OMEPRAZOLE,23087
AMLODIPINE,20958
FUROSEMIDE,20285
VITAMIN D3,20066
METFORMIN,19970
CYCLOPHOSPHAMIDE,19638
REVLIMID,19403
ALBUTEROL SULFATE,19328
PANTOPRAZOLE,19043
FOLIC ACID,18808
LEVOTHYROXINE,17318
PREDNISOLONE,16560
TACROLIMUS,15716
SKYRIZI,15666
RINVOQ,15332
IBUPROFEN,15242
CARBOPLATIN,15159
VEDOLIZUMAB,15101
MYCOPHENOLATE MOFETIL,14660
TYLENOL,14655
LISINOPRIL,14585
COSENTYX,14313
LENALIDOMIDE,14284
OZEMPIC,13754
METHYLPREDNISOLONE,12795
ALBUTEROL,12658
KEYTRUDA,12656
ROSUVASTATIN,12494
XOLAIR,12182
ORENCIA,11990
SODIUM CHLORIDE,11885
ENBREL,11884
PREGABALIN,11867
METOPROLOL,11730
OCREVUS,11625
ONDANSETRON,11314
SPIRONOLACTONE,11244
