pt,caseid
Off label use,122677
Drug ineffective,89691
Fatigue,65522
Death,55774
Nausea,54995
Diarrhoea,53170
Product dose omission issue,52645
Headache,43616
Pain,41415
Dyspnoea,40650
Pruritus,37924
Arthralgia,37138
Rash,35183
Vomiting,33952
Dizziness,33179
COVID-19,32712
Product use in unapproved indication,31502
Condition aggravated,31080
Inappropriate schedule of product administration,29466
Malaise,29214
No adverse event,29134
Asthenia,28635
Injection site pain,28383
Drug dose omission by device,27342
Pneumonia,27309
Pyrexia,27056
Incorrect dose administered,25614
Cough,25510
Fall,23888
Weight decreased,22099
Wrong technique in product usage process,22005
Illness,20984
Decreased appetite,19966
Pain in extremity,19374
Nasopharyngitis,19148
Constipation,19142
Insomnia,18092
Anxiety,17979
Weight increased,17891
Device difficult to use,17790
Abdominal pain,17368
Hypertension,16852
Product use issue,16672
Back pain,16375
Product storage error,16156
Hospitalisation,15991
Abdominal pain upper,15467
Accidental exposure to product,15031
Urinary tract infection,14880
Abdominal discomfort,14024
